,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
441,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3260
442,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3402
443,2021-06-10 00:00:00.000,2021-06-10 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3150
456,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,549
457,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,166
458,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2270
459,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3059
460,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3859
461,2021-06-11 00:00:00.000,2021-06-11 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3448
474,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,598
475,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,185
476,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2701
477,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3791
478,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,4026
479,2021-06-12 00:00:00.000,2021-06-12 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3622
492,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,405
493,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,147
494,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,1374
495,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2062
496,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2867
497,2021-06-13 00:00:00.000,2021-06-13 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2752
510,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,431
