,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
143,431,06/09/2021,06/09/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,959
144,444,06/10/2021,06/10/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,273
145,445,06/10/2021,06/10/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,60
146,446,06/10/2021,06/10/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1686
147,447,06/10/2021,06/10/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1614
148,448,06/10/2021,06/10/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1052
149,449,06/10/2021,06/10/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1065
150,462,06/11/2021,06/11/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,162
151,463,06/11/2021,06/11/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,58
152,464,06/11/2021,06/11/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1680
153,465,06/11/2021,06/11/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1612
154,466,06/11/2021,06/11/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1046
155,467,06/11/2021,06/11/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,989
156,480,06/12/2021,06/12/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,250
157,481,06/12/2021,06/12/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,48
158,482,06/12/2021,06/12/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1811
159,483,06/12/2021,06/12/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1615
160,484,06/12/2021,06/12/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1084
161,485,06/12/2021,06/12/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1197
162,498,06/13/2021,06/13/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,265
163,499,06/13/2021,06/13/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,90
164,500,06/13/2021,06/13/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1636
165,501,06/13/2021,06/13/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1300
166,502,06/13/2021,06/13/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1116
167,503,06/13/2021,06/13/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,1253
168,516,06/14/2021,06/14/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,136
169,517,06/14/2021,06/14/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,52
170,518,06/14/2021,06/14/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1509
171,519,06/14/2021,06/14/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1268
172,520,06/14/2021,06/14/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,889
173,521,06/14/2021,06/14/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,907
174,534,06/15/2021,06/15/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,170
175,535,06/15/2021,06/15/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,60
176,536,06/15/2021,06/15/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1629
177,537,06/15/2021,06/15/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1532
178,538,06/15/2021,06/15/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,875
179,539,06/15/2021,06/15/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,949
180,552,06/16/2021,06/16/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,133
181,553,06/16/2021,06/16/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,55
182,554,06/16/2021,06/16/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1362
183,555,06/16/2021,06/16/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1388
