,year,month,day,real data,data with prediction for 2023
236,2022,1,8,1978.0768582360083,1978.0768582360083
237,2022,1,9,1504.3948845427642,1504.3948845427642
238,2022,1,10,1572.5051863729236,1572.5051863729236
239,2022,1,11,1599.6108848015494,1599.6108848015494
240,2022,1,12,1647.0903756218845,1647.0903756218845
241,2022,1,13,1492.4808485573367,1492.4808485573367
242,2022,1,14,1790.0058466149273,1790.0058466149273
243,2022,1,15,2246.2426598389843,2246.2426598389843
244,2022,1,16,1693.4551417451842,1693.4551417451842
245,2022,1,17,1576.209278954253,1576.209278954253
246,2022,1,18,1516.3833187351759,1516.3833187351759
247,2022,1,19,1569.8989754726433,1569.8989754726433
248,2022,1,20,1581.0906529570552,1581.0906529570552
249,2022,1,21,1840.2007362960057,1840.2007362960057
250,2022,1,22,2218.218212863551,2218.218212863551
251,2022,1,23,1682.4047791284345,1682.4047791284345
252,2022,1,24,1564.228326308148,1564.228326308148
253,2022,1,25,1586.8177087228205,1586.8177087228205
254,2022,1,26,1684.2388338133844,1684.2388338133844
255,2022,1,27,1677.3110895914278,1677.3110895914278
256,2022,1,28,1937.0947443416185,1937.0947443416185
257,2022,1,29,2301.83722759837,2301.83722759837
258,2022,1,30,1643.5560995733404,1643.5560995733404
259,2022,1,31,1573.662641133532,1573.662641133532
260,2022,2,1,1498.8937759806772,1498.8937759806772
261,2022,2,2,1678.3926318885012,1678.3926318885012
262,2022,2,3,1634.6966333899188,1634.6966333899188
263,2022,2,4,1725.0573743951218,1725.0573743951218
264,2022,2,5,1593.009966406298,1593.009966406298
265,2022,2,6,1506.6285110396652,1506.6285110396652
266,2022,2,7,1592.6549148448464,1592.6549148448464
267,2022,2,8,1351.6522737645291,1351.6522737645291
268,2022,2,9,1689.2162677391857,1689.2162677391857
269,2022,2,10,1683.3172395868867,1683.3172395868867
270,2022,2,11,1916.5251586330921,1916.5251586330921
271,2022,2,12,2126.0933623471765,2126.0933623471765
272,2022,2,13,1562.2631460163443,1562.2631460163443
273,2022,2,14,1676.9238180258114,1676.9238180258114
274,2022,2,15,1519.466666132681,1519.466666132681
275,2022,2,16,1333.4322942337328,1333.4322942337328
276,2022,2,17,1585.6174790304167,1585.6174790304167
277,2022,2,18,1641.958271089323,1641.958271089323
278,2022,2,19,1969.9848675330775,1969.9848675330775
279,2022,2,20,890.3417356295182,890.3417356295182
280,2022,2,21,1763.4515449253229,1763.4515449253229
281,2022,2,22,1836.1225899229696,1836.1225899229696
282,2022,2,23,1701.3082434009036,1701.3082434009036
283,2022,2,24,1726.097518051762,1726.097518051762
284,2022,2,25,2051.650267528264,2051.650267528264
285,2022,2,26,1986.9061705325685,1986.9061705325685
286,2022,2,27,1519.373634722783,1519.373634722783
287,2022,2,28,1550.1674071473617,1550.1674071473617
288,2022,3,1,1678.9202525654625,1678.9202525654625
289,2022,3,2,1006.8536743672635,1006.8536743672635
290,2022,3,3,1792.3438872404863,1792.3438872404863
291,2022,3,4,2016.4465662387277,2016.4465662387277
292,2022,3,5,2435.1231871781874,2435.1231871781874
293,2022,3,6,1849.4080484249482,1849.4080484249482
294,2022,3,7,1620.3461099400313,1620.3461099400313
295,2022,3,8,1333.506416510341,1333.506416510341
296,2022,3,9,908.9944245040053,908.9944245040053
297,2022,3,10,1723.9381517966574,1723.9381517966574
298,2022,3,11,1497.3097171313225,1497.3097171313225
299,2022,3,12,1946.4917445324336,1946.4917445324336
300,2022,3,13,1715.6770792551051,1715.6770792551051
301,2022,3,14,1590.0996020198675,1590.0996020198675
302,2022,3,15,1800.233613704834,1800.233613704834
303,2022,3,16,1939.9251122586502,1939.9251122586502
304,2022,3,17,1434.6308994880706,1434.6308994880706
305,2022,3,18,1874.1130115383899,1874.1130115383899
306,2022,3,19,2101.8379964616347,2101.8379964616347
307,2022,3,20,1691.1825035237525,1691.1825035237525
308,2022,3,21,1827.7426471526758,1827.7426471526758
309,2022,3,22,1791.2518348840051,1791.2518348840051
310,2022,3,23,1829.7713016964915,1829.7713016964915
311,2022,3,24,1797.2303558736933,1797.2303558736933
312,2022,3,25,2071.215554826392,2071.215554826392
313,2022,3,26,2527.9796679288106,2527.9796679288106
314,2022,3,27,1698.060129232795,1698.060129232795
315,2022,3,28,1696.8114332492153,1696.8114332492153
316,2022,3,29,1685.079696876319,1685.079696876319
317,2022,3,30,1569.413532998502,1569.413532998502
318,2022,3,31,1769.1368812520554,1769.1368812520554
319,2022,4,1,1810.0155916423278,1810.0155916423278
