,Unnamed: 0,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
143,143,425,06/09/2021,06/09/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2255.190852819875
144,144,438,06/10/2021,06/10/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,441.0838899411616
145,145,439,06/10/2021,06/10/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,158.93107399688034
146,146,440,06/10/2021,06/10/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2590.332671151931
147,147,441,06/10/2021,06/10/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2740.6380102136677
148,148,442,06/10/2021,06/10/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2941.2263667547672
149,149,443,06/10/2021,06/10/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2515.4650418080564
150,150,456,06/11/2021,06/11/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,374.13837679516126
151,151,457,06/11/2021,06/11/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,173.53747474021128
152,152,458,06/11/2021,06/11/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2824.6655167745885
153,153,459,06/11/2021,06/11/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2895.550487679394
154,154,460,06/11/2021,06/11/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3038.6920100844995
155,155,461,06/11/2021,06/11/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2544.360482345648
156,156,474,06/12/2021,06/12/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,517.5834386655524
157,157,475,06/12/2021,06/12/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,175.04089032387986
